https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=54df1ed035&e=458ed9ba0f
FRIDAY
Cosmic Baseball Takeover Tour (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=eae403ebd2&e=458ed9ba0f) , Durham Bulls Athletic Park, Durham
2026 NASCAR Regional Season - NAPA Auto Parts 175 (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=56f32604c8&e=458ed9ba0f) , Wake County Speedway, Raleigh
Live Music with Tanner Hunt at TBL Cafe (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=1a90f4f992&e=458ed9ba0f) , The Bike Library, Raleigh
Museum Movie Night: The Goonies (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=27ede7c727&e=458ed9ba0f) , North Carolina Museum of Natural Sciences, Raleigh
Music & Me: At The Farm x Holl & Stone Farms (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=a81f1a5f04&e=458ed9ba0f) , Holl & Stone, Garner
LGBTQ+ Board Game Night (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=5f4c099d29&e=458ed9ba0f) , Side Quest Game Lounge + Bar, Raleigh
Purradise Found: Kitten Adoption Event (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=62ed12d3ad&e=458ed9ba0f) , SAFE Haven for Cats, Raleigh
Pyromancy: Dark DJ Night (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=14c0eaed1a&e=458ed9ba0f) , Incendiary Brewing Taproom, Raleigh
RELOADED: A Black Pride Party at Bitter Social (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=b62be30ef3&e=458ed9ba0f) , Bitter Social, Raleigh
Rattletraps (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=a3aeb192f1&e=458ed9ba0f) , Slim's Dive Bar, Raleigh
Sip & Sync Social Hour (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=ca48baf617&e=458ed9ba0f) , The Portal HQ, Raleigh
Summer Friday at Junction West (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=c532654216&e=458ed9ba0f) , Junction West, Raleigh
Your Mama's New Boyfriend (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=113e018bac&e=458ed9ba0f) , The Backyard Bar, Apex
Anastasia the Musical (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=c9aa7081c5&e=458ed9ba0f) , The Justice Theater Project, Brier Creek
Dear Evan Hansen, Theatre Raleigh (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=2f1192789e&e=458ed9ba0f) , De Ann S. Jones Theatre, Raleigh
Eurydice (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=99caf83365&e=458ed9ba0f) , Theatre In The Park, Raleigh
Rachel Williams (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=cc4323053c&e=458ed9ba0f) , Room 861 at Goodnights Comedy Club, Raleigh
The Mystery of Irma Vep - A Penny Dreadful (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=560349aba3&e=458ed9ba0f) , Kennedy-McIlwee Studio Theatre, Raleigh
Towards Zero (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=66b8ab43ea&e=458ed9ba0f) , Titmus Theatre, Raleigh
Serial Killer Speakeasy (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=a152764819&e=458ed9ba0f) , Weldon Mills, Durham
All Your Friends at Stanczyks (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=f07dfd04e3&e=458ed9ba0f) , Stanczyks, Durham
We Built This: Profiles of Black Architects and Builders in North Carolina (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=3a0f3c5d88&e=458ed9ba0f) , Research Triangle Park, Durham
Live Music @ATC Tower: Justin Edwards & Luke Shamblin (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=e44f20fe58&e=458ed9ba0f) , ATC Tower, Durham
Carter Minor Blues Band (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=43c2379299&e=458ed9ba0f) , The Blue Note Grill, Durham
Extreme Dwarfanators Wrestling (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=babb43c1b5&e=458ed9ba0f) , Tobacco Wood Brewing Company, Durham
Official World Cup Watch Party: USA vs. Paraguay (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=306497c280&e=458ed9ba0f) , Lawn at American Tobacco Campus, Durham
Harold Night: Improv Comedy (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=bf798480c2&e=458ed9ba0f) , Mettlesome Comedy Theater, Durham
2026 Orange County Annual Juneteenth Celebration (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=a8353ae8a4&e=458ed9ba0f) , Eno Arts Mill, Hillsborough
Family Fun Friday with Big Bang Boom (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=c5b7a0134d&e=458ed9ba0f) , Chapel Hill Public Library, Chapel Hill
2nd Friday Art Walk (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=06147122c1&e=458ed9ba0f) , Carrboro Town Hall, Carrboro
Black Sheep Comedy  Improv Night (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=6a79c4b78e&e=458ed9ba0f) , ArtsCenter, Carrboro
Elizabeth Cotten Freight Train Blues 2026  Concert Series (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=e4cbd6ea60&e=458ed9ba0f) , Carrboro Farmers' Market, Carrboro
Vending Machine  UNCG MFA Thesis Show 2026 (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=f2bbab3fad&e=458ed9ba0f) , peel, Carrboro

SATURDAY
Cosmic Baseball Takeover Tour (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=4933cf7263&e=458ed9ba0f) , Durham Bulls Athletic Park, Durham
Carín Leon (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=90ffa2eb34&e=458ed9ba0f) , Lenovo Center, Raleigh
Hardy (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=0af1361ba6&e=458ed9ba0f) , Coastal Credit Union Music Park, Raleigh
R&B Soul Session (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=d21fbe1fed&e=458ed9ba0f) , Memorial Auditorium at Martin Marietta Center for the Performing Arts, Raleigh
PRIDE in the Park (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=f82f7d4925&e=458ed9ba0f) , Downtown Cary Park, Cary
Under the Sea at Summerfest (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=c529b99f89&e=458ed9ba0f) , Koka Booth Amphitheatre, Cary
Villain Arts 5th Annual Raleigh Tattoo Arts Festival (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=b70d0de32b&e=458ed9ba0f) , North Carolina State Fairgrounds, Raleigh
Fake Happy!: A Tribute to Paramore (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=63f1487bd3&e=458ed9ba0f) , The Ritz, Raleigh
HAMILTON (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=63589b2544&e=458ed9ba0f) , DPAC, Durham
Tony Rock (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=016d4b75cc&e=458ed9ba0f) , Raleigh Improv, Cary
The Unteachables (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=22affbc21c&e=458ed9ba0f) , Goodnights Comedy Club, Raleigh
NCMA Loves Anime Bazaar (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=942435030b&e=458ed9ba0f) , North Carolina Museum of Art, Raleigh
Tony Rock (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=e2e276b144&e=458ed9ba0f) , Raleigh Improv, Cary
Rachel Williams (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=8c6d8346b9&e=458ed9ba0f) , Room 861 at Goodnights Comedy Club, Raleigh
Rhythm & Reels - Movies (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=6e169f13c0&e=458ed9ba0f) , Nature Park Amphitheatre, Apex
Can I Kick It? Batman: Ninja (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=c0517d4863&e=458ed9ba0f) , The Cary Theater, Cary
Bee Day Celebration (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=ab6fd87ac5&e=458ed9ba0f) , Durham Central Park, Durham
Blue Cactus — Summer Concerts in the Park (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=78e3751d5b&e=458ed9ba0f) , Duke Park, Durham
Family Movie Night at Joyner Park 2026 (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=284ee020c3&e=458ed9ba0f) , E. Carroll Joyner Park, Wake Forest
Genomics and Microbiology Research Day (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=014b1aa692&e=458ed9ba0f) , North Carolina Museum of Natural Sciences, Raleigh
Dead Calm at Motorco (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=4b66eafa55&e=458ed9ba0f) , Motorco Music Hall, Durham
Bull City Press Presents (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=ac804cb7db&e=458ed9ba0f) , Mettlesome Comedy Theater, Durham
Poets' Playground: Summer Social at Boxyard RTP (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=0ad592264f&e=458ed9ba0f) , Boxyard RTP, Durham
Carolina Flyers Ultimate Disc vs. Houston Havac (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=721db3a1e7&e=458ed9ba0f) , Durham County Memorial Stadium, Durham
Serial Killer Speakeasy (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=8c3e5a713f&e=458ed9ba0f) , Weldon Mills, Durham
Towards Zero (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=6c99a64124&e=458ed9ba0f) , Titmus Theatre, Raleigh
Ebbs & Flows presented by Violet Ballet (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=d61182c48b&e=458ed9ba0f) , Barriskill Dance Theatre, Durham
Carolina Blaze vs. Texas Volts (Professional Softball) (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=af117cf570&e=458ed9ba0f) , Smith Family Stadium, Durham
L'Arche NC Run, Walk, and Roll (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=98197be95c&e=458ed9ba0f) , Miracle League Field, Durham
Honey for the Soul (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=ddf962509e&e=458ed9ba0f) , Catawba Trail Farm, Durham
Tiki Fest (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=eaa06d50fc&e=458ed9ba0f) , Atomic Clock Brewing, Durham
The Racket - Indie Comedy ft. Crooks and Muggers (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=37d8beb7cb&e=458ed9ba0f) , Mettlesome Comedy Theater, Durham
Boy Named Sue (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=edea87b844&e=458ed9ba0f) , Stanczyks, Durham
Crush (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=2c9dc1b061&e=458ed9ba0f) , Blue Note Grill, Durham
African American Festival (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=dea08e9dba&e=458ed9ba0f) , African American Festival, Knightdale
An Evening with the Gravy Boys (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=e024e7e5a5&e=458ed9ba0f) , The Wake Forest Listening Room, Wake Forest
Capital City Culture Club (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=7ca9061535&e=458ed9ba0f) , ComedyWorx, Raleigh
Celebrating Art & Transportation on Poole Road (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=af9f774f26&e=458ed9ba0f) , Poole Road Park, Parking lot, Raleigh
Inter Arma / Mo'ynoq / Valletta / Nocuous Lust (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=9f240f341b&e=458ed9ba0f) , Chapel of Bones, Raleigh
It's Not The Clash: A Benefit For The ACLU (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=b54d90a6d8&e=458ed9ba0f) , The Pour House Music Hall & Record Shop, Raleigh
Juneteenth Celebration 2026 (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=beb6423518&e=458ed9ba0f) , Parrish Womble Park, Holly Springs
Let's Get Social Raleigh's Backyard Day Party (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=e9537dbf8e&e=458ed9ba0f) , Tap Yard House, Raleigh
Long Relief (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=b905e73e1c&e=458ed9ba0f) , KINGS, Raleigh
Mike Goodwin (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=96fe80c0a1&e=458ed9ba0f) , Goodnights Comedy Club, Raleigh
Riff Raff w/ #2Stoned (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=a7a6dd2a36&e=458ed9ba0f) , Lincoln Theatre, Raleigh
Second Stage 2026 - Dr. Ride’s American Beach House (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=8098257d3c&e=458ed9ba0f) , Murphey School Auditorium, Raleigh
Second Stage-Gloria (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=4981a1a335&e=458ed9ba0f) , Green Room, Raleigh
Splash into Summer Pool Party for Teens (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=5c9b3a1549&e=458ed9ba0f) , Morrisville Aquatics & Fitness Center, Morrisville
Summer Suds 2026 (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=fc8f840cf5&e=458ed9ba0f) , Cedar Fork Community Center, Morrisville
The Darts // The Girls // Treasure Pains (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=69e9e09096&e=458ed9ba0f) , Neptunes Parlour, Raleigh
WHY? and GAG! present Wor$t Party in Amerixcxa at Bitter Social (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=1fa9683fdf&e=458ed9ba0f) , Bitter Social, Raleigh
Whoop Album Release Party (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=591e42a6c6&e=458ed9ba0f) , Slim's Dive Bar, Raleigh
Zebulon Devil Dogz vs. Morehead City Marlins (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=affbff8717&e=458ed9ba0f) , Five County Stadium, Zebulon
Anastasia the Musical (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=5c2d508bbd&e=458ed9ba0f) , The Justice Theater Project, Brier Creek
Eurydice (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=e51a79400c&e=458ed9ba0f) , Theatre In The Park, Raleigh
The Mystery of Irma Vep - A Penny Dreadful (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=29a519c961&e=458ed9ba0f) , Kennedy-McIlwee Studio Theatre, Raleigh
Towards Zero (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=4f92d078aa&e=458ed9ba0f) , Titmus Theatre, Raleigh
Call of Duty: Black Ops 7 Tournament (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=7402e07aa7&e=458ed9ba0f) , Ego Chall Esports, Chapel Hill
Hillsborough's Black & Indigenous History  Guided Walking Tour (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=d4c6501036&e=458ed9ba0f) , Orange County Public Library, Hillsborough
Pride Party at The Gathering Place (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=c910e8c28b&e=458ed9ba0f) , The Gathering Place, Chapel Hill
Rainbow Exchange Vendor Market Ft. GRRRLBANDS (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=aca842a4e8&e=458ed9ba0f) , Speakeasy, Carrboro

SUNDAY
Game 6: Golden Knights vs. Hurricanes Watch Party (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=ca3abf76b8&e=458ed9ba0f) , Lenovo Center, Raleigh
Villain Arts 5th Annual Raleigh Tattoo Arts Festival (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=d98123f97e&e=458ed9ba0f) , North Carolina State Fairgrounds, Raleigh
Fight Night Live - UFC Freedom 250 (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=bf93a19959&e=458ed9ba0f) , Sports & Social, Cary
Tony Rock (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=308d0f72b4&e=458ed9ba0f) , Raleigh Improv, Cary
PawPaw Rod at Motorco (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=9a98041480&e=458ed9ba0f) , Motorco Music Hall, Durham
HAMILTON (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=c76e6e5ca5&e=458ed9ba0f) , DPAC, Durham
Rachel Williams (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=b4d8609d08&e=458ed9ba0f) , Room 861 at Goodnights Comedy Club, Raleigh
Summer Family Film Series - The Wiz (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=f09d29bec5&e=458ed9ba0f) , The Cary Theatre, Cary
Mike Goodwin (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=adebe5260a&e=458ed9ba0f) , Goodnights Comedy Club, Raleigh
Vocal Arts Ensemble Annual June Concert - “Hear My Voice” (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=1d0ebc10a8&e=458ed9ba0f) , Duke Chapel, Durham
Wintermute (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=50dd2a00df&e=458ed9ba0f) , Stanczyks, Durham
Alejandro Aranda  Live Music (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=8f00586e21&e=458ed9ba0f) , Local 506, Chapel Hill
Pride Drag Brunch starring Jimbo (RuPaul's Drag Race All Stars Winner) (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=b2e74aacf3&e=458ed9ba0f) , Raleigh Improv, Cary
Pride on the Patio (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=9f387f6ba7&e=458ed9ba0f) , Boxcar Bar + Arcade, Raleigh
Serving Brunch: Groovy Tomb Edition (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=b5b738a727&e=458ed9ba0f) , Chapel of Bones, Raleigh
The Ultimate Doors - A Tribute to The Doors (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=ea4a67a1b9&e=458ed9ba0f) , Lincoln Theatre, Raleigh
Pride Fest (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=fc37576c58&e=458ed9ba0f) , The Pickleback, Durham
Authors & Artists Expo (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=2ba5016685&e=458ed9ba0f) , Durham Central Park, Durham
Holly Springs Salamanders vs. Tri-City Chili Peppers (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=50f3b863af&e=458ed9ba0f) , North Main Athletic Complex, Holly Springs
Theater Book Club (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=8285ee2ee5&e=458ed9ba0f) , The Green Room, Raleigh
Zebulon Devil Dogz vs. Morehead City Marlins (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=88012c911d&e=458ed9ba0f) , Five County Stadium, Zebulon
